Comment,Designator,Footprint,LCSC,Quantity
DRV5055A3xDBZxQ1,"U2,U3,U4,U5,U6,U7",SOT-23,C2152902,6
74HC4051,U1,TSSOP-16-1EP_4.4x5mm_P0.65mm,C352826,1
10nF,"C2,C3,C4,C5,C6,C7",C_0402_1005Metric,C77019,6
100nF,"C14,C15,C16,C17,C18,C19,C20,C21,C22,C23",C_0402_1005Metric,C77020,10
Conn_01x13,J1,PinHeader_1x13_P2.54mm_Vertical,,1
R_Potentiometer,RV1,RK09K1130A5R,,1
R_Potentiometer,RV8,RK09K1130A5R,,1
100nF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
R_Potentiometer,RV4,RK09K1130A5R,,1
R_Potentiometer,RV5,RK09K1130A5R,,1
R_Potentiometer,RV3,RK09K1130A5R,,1
R_Potentiometer,RV6,RK09K1130A5R,,1
R_Potentiometer,RV2,RK09K1130A5R,,1
R_Potentiometer,RV7,RK09K1130A5R,,1
~,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
~,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
~,ICLED7,1312020030000,,1
~,ICLED10,1312020030000,,1
~,ICLED8,1312020030000,,1
~,ICLED5,1312020030000,,1
~,ICLED4,1312020030000,,1
~,ICLED2,1312020030000,,1
~,ICLED1,1312020030000,,1
~,ICLED3,1312020030000,,1
~,ICLED6,1312020030000,,1
~,ICLED9,1312020030000,,1
